# created in copost_inversion_constraint.m in /Users/sbarbot/Documents/work/eqcycle/matlab
# created in copost_inversion_constraint, line 602
# i   v(m/yr)     n(km)     e(km) depth length width strike   dip  rake
149  6.29e-01  9.82e+00 -7.11e+00  7.00    2.0   1.0  -37.6  90.0   1.0
150  6.48e-01  1.14e+01 -8.33e+00  7.00    2.0   1.0  -37.6  90.0   1.0
151  5.61e-01  1.30e+01 -9.55e+00  7.00    2.0   1.0  -37.6  90.0   1.0
152  3.56e-01  1.46e+01 -1.08e+01  7.00    2.0   1.0  -37.6  90.0   1.0
153  1.59e-01  1.62e+01 -1.20e+01  7.00    2.0   1.0  -37.6  90.0   1.0
154  2.31e-02  1.77e+01 -1.32e+01  7.00    2.0   1.0  -37.6  90.0   1.0
155  7.79e-03  1.93e+01 -1.44e+01  7.00    2.0   1.0  -37.6  90.0   1.0
156  9.52e-04  2.09e+01 -1.57e+01  7.00    2.0   1.0  -37.6  90.0   1.0
157  0.00e+00  2.25e+01 -1.69e+01  7.00    2.0   1.0  -37.6  90.0   1.0
158  0.00e+00  2.41e+01 -1.81e+01  7.00    2.0   1.0  -37.6  90.0   1.0
159  0.00e+00  2.57e+01 -1.93e+01  7.00    2.0   1.0  -37.6  90.0   1.0
160  0.00e+00  2.72e+01 -2.05e+01  7.00    2.0   1.0  -37.6  90.0   1.0
161  4.23e-02 -2.86e+00  2.65e+00  6.00    2.0   1.0  -37.6  90.0   1.0
162  1.21e-01 -1.28e+00  1.43e+00  6.00    2.0   1.0  -37.6  90.0   1.0
163  2.28e-01  3.09e-01  2.09e-01  6.00    2.0   1.0  -37.6  90.0   1.0
164  3.80e-01  1.89e+00 -1.01e+00  6.00    2.0   1.0  -37.6  90.0   1.0
165  4.55e-01  3.48e+00 -2.23e+00  6.00    2.0   1.0  -37.6  90.0   1.0
166  2.78e-01  5.06e+00 -3.45e+00  6.00    2.0   1.0  -37.6  90.0   1.0
167  3.31e-01  6.65e+00 -4.67e+00  6.00    2.0   1.0  -37.6  90.0   1.0
168  5.61e-01  8.23e+00 -5.89e+00  6.00    2.0   1.0  -37.6  90.0   1.0
169  5.84e-01  9.82e+00 -7.11e+00  6.00    2.0   1.0  -37.6  90.0   1.0
170  5.39e-01  1.14e+01 -8.33e+00  6.00    2.0   1.0  -37.6  90.0   1.0
171  4.54e-01  1.30e+01 -9.55e+00  6.00    2.0   1.0  -37.6  90.0   1.0
172  2.83e-01  1.46e+01 -1.08e+01  6.00    2.0   1.0  -37.6  90.0   1.0
173  1.36e-01  1.62e+01 -1.20e+01  6.00    2.0   1.0  -37.6  90.0   1.0
174  3.28e-02  1.77e+01 -1.32e+01  6.00    2.0   1.0  -37.6  90.0   1.0
175  1.88e-02  1.93e+01 -1.44e+01  6.00    2.0   1.0  -37.6  90.0   1.0
176  2.87e-03  2.09e+01 -1.57e+01  6.00    2.0   1.0  -37.6  90.0   1.0
177  0.00e+00  2.25e+01 -1.69e+01  6.00    2.0   1.0  -37.6  90.0   1.0
178  0.00e+00  2.41e+01 -1.81e+01  6.00    2.0   1.0  -37.6  90.0   1.0
179  0.00e+00  2.57e+01 -1.93e+01  6.00    2.0   1.0  -37.6  90.0   1.0
180  0.00e+00  2.72e+01 -2.05e+01  6.00    2.0   1.0  -37.6  90.0   1.0
181  1.05e-02 -2.86e+00  2.65e+00  5.00    2.0   1.0  -37.6  90.0   1.0
182  2.27e-02 -1.28e+00  1.43e+00  5.00    2.0   1.0  -37.6  90.0   1.0
183  1.32e-01  3.09e-01  2.09e-01  5.00    2.0   1.0  -37.6  90.0   1.0
184  3.26e-01  1.89e+00 -1.01e+00  5.00    2.0   1.0  -37.6  90.0   1.0
185  4.42e-01  3.48e+00 -2.23e+00  5.00    2.0   1.0  -37.6  90.0   1.0
186  2.50e-01  5.06e+00 -3.45e+00  5.00    2.0   1.0  -37.6  90.0   1.0
187  3.30e-01  6.65e+00 -4.67e+00  5.00    2.0   1.0  -37.6  90.0   1.0
188  5.39e-01  8.23e+00 -5.89e+00  5.00    2.0   1.0  -37.6  90.0   1.0
189  4.06e-01  9.82e+00 -7.11e+00  5.00    2.0   1.0  -37.6  90.0   1.0
190  2.04e-01  1.14e+01 -8.33e+00  5.00    2.0   1.0  -37.6  90.0   1.0
191  1.38e-01  1.30e+01 -9.55e+00  5.00    2.0   1.0  -37.6  90.0   1.0
192  8.98e-02  1.46e+01 -1.08e+01  5.00    2.0   1.0  -37.6  90.0   1.0
193  6.25e-02  1.62e+01 -1.20e+01  5.00    2.0   1.0  -37.6  90.0   1.0
194  4.10e-02  1.77e+01 -1.32e+01  5.00    2.0   1.0  -37.6  90.0   1.0
195  3.34e-02  1.93e+01 -1.44e+01  5.00    2.0   1.0  -37.6  90.0   1.0
196  4.42e-03  2.09e+01 -1.57e+01  5.00    2.0   1.0  -37.6  90.0   1.0
197  6.52e-04  2.25e+01 -1.69e+01  5.00    2.0   1.0  -37.6  90.0   1.0
198  0.00e+00  2.41e+01 -1.81e+01  5.00    2.0   1.0  -37.6  90.0   1.0
199  0.00e+00  2.57e+01 -1.93e+01  5.00    2.0   1.0  -37.6  90.0   1.0
200  0.00e+00  2.72e+01 -2.05e+01  5.00    2.0   1.0  -37.6  90.0   1.0
201  4.32e-03 -2.86e+00  2.65e+00  4.00    2.0   1.0  -37.6  90.0   1.0
202  4.72e-04 -1.28e+00  1.43e+00  4.00    2.0   1.0  -37.6  90.0   1.0
203  1.16e-01  3.09e-01  2.09e-01  4.00    2.0   1.0  -37.6  90.0   1.0
204  3.56e-01  1.89e+00 -1.01e+00  4.00    2.0   1.0  -37.6  90.0   1.0
205  4.41e-01  3.48e+00 -2.23e+00  4.00    2.0   1.0  -37.6  90.0   1.0
206  1.64e-01  5.06e+00 -3.45e+00  4.00    2.0   1.0  -37.6  90.0   1.0
207  2.63e-01  6.65e+00 -4.67e+00  4.00    2.0   1.0  -37.6  90.0   1.0
208  4.51e-01  8.23e+00 -5.89e+00  4.00    2.0   1.0  -37.6  90.0   1.0
209  2.58e-01  9.82e+00 -7.11e+00  4.00    2.0   1.0  -37.6  90.0   1.0
210  1.20e-01  1.14e+01 -8.33e+00  4.00    2.0   1.0  -37.6  90.0   1.0
211  1.41e-01  1.30e+01 -9.55e+00  4.00    2.0   1.0  -37.6  90.0   1.0
212  8.89e-02  1.46e+01 -1.08e+01  4.00    2.0   1.0  -37.6  90.0   1.0
213  7.66e-02  1.62e+01 -1.20e+01  4.00    2.0   1.0  -37.6  90.0   1.0
214  6.84e-02  1.77e+01 -1.32e+01  4.00    2.0   1.0  -37.6  90.0   1.0
215  5.11e-02  1.93e+01 -1.44e+01  4.00    2.0   1.0  -37.6  90.0   1.0
216  6.54e-03  2.09e+01 -1.57e+01  4.00    2.0   1.0  -37.6  90.0   1.0
217  1.56e-03  2.25e+01 -1.69e+01  4.00    2.0   1.0  -37.6  90.0   1.0
218  0.00e+00  2.41e+01 -1.81e+01  4.00    2.0   1.0  -37.6  90.0   1.0
219  0.00e+00  2.57e+01 -1.93e+01  4.00    2.0   1.0  -37.6  90.0   1.0
220  0.00e+00  2.72e+01 -2.05e+01  4.00    2.0   1.0  -37.6  90.0   1.0
221  0.00e+00 -2.86e+00  2.65e+00  3.00    2.0   1.0  -37.6  90.0   1.0
222  2.81e-03 -1.28e+00  1.43e+00  3.00    2.0   1.0  -37.6  90.0   1.0
223  1.44e-01  3.09e-01  2.09e-01  3.00    2.0   1.0  -37.6  90.0   1.0
224  4.50e-01  1.89e+00 -1.01e+00  3.00    2.0   1.0  -37.6  90.0   1.0
225  4.14e-01  3.48e+00 -2.23e+00  3.00    2.0   1.0  -37.6  90.0   1.0
226  2.50e-02  5.06e+00 -3.45e+00  3.00    2.0   1.0  -37.6  90.0   1.0
227  1.47e-01  6.65e+00 -4.67e+00  3.00    2.0   1.0  -37.6  90.0   1.0
228  3.05e-01  8.23e+00 -5.89e+00  3.00    2.0   1.0  -37.6  90.0   1.0
229  1.12e-01  9.82e+00 -7.11e+00  3.00    2.0   1.0  -37.6  90.0   1.0
230  3.77e-02  1.14e+01 -8.33e+00  3.00    2.0   1.0  -37.6  90.0   1.0
231  1.72e-01  1.30e+01 -9.55e+00  3.00    2.0   1.0  -37.6  90.0   1.0
232  1.29e-01  1.46e+01 -1.08e+01  3.00    2.0   1.0  -37.6  90.0   1.0
233  1.18e-01  1.62e+01 -1.20e+01  3.00    2.0   1.0  -37.6  90.0   1.0
234  9.99e-02  1.77e+01 -1.32e+01  3.00    2.0   1.0  -37.6  90.0   1.0
235  6.46e-02  1.93e+01 -1.44e+01  3.00    2.0   1.0  -37.6  90.0   1.0
236  7.98e-03  2.09e+01 -1.57e+01  3.00    2.0   1.0  -37.6  90.0   1.0
237  2.38e-03  2.25e+01 -1.69e+01  3.00    2.0   1.0  -37.6  90.0   1.0
238  0.00e+00  2.41e+01 -1.81e+01  3.00    2.0   1.0  -37.6  90.0   1.0
239  0.00e+00  2.57e+01 -1.93e+01  3.00    2.0   1.0  -37.6  90.0   1.0
240  0.00e+00  2.72e+01 -2.05e+01  3.00    2.0   1.0  -37.6  90.0   1.0
241  0.00e+00 -2.86e+00  2.65e+00  2.00    2.0   1.0  -37.6  90.0   1.0
242  3.58e-03 -1.28e+00  1.43e+00  2.00    2.0   1.0  -37.6  90.0   1.0
243  9.53e-02  3.09e-01  2.09e-01  2.00    2.0   1.0  -37.6  90.0   1.0
244  3.63e-01  1.89e+00 -1.01e+00  2.00    2.0   1.0  -37.6  90.0   1.0
245  3.04e-01  3.48e+00 -2.23e+00  2.00    2.0   1.0  -37.6  90.0   1.0
246  0.00e+00  5.06e+00 -3.45e+00  2.00    2.0   1.0  -37.6  90.0   1.0
247  1.10e-01  6.65e+00 -4.67e+00  2.00    2.0   1.0  -37.6  90.0   1.0
248  1.57e-01  8.23e+00 -5.89e+00  2.00    2.0   1.0  -37.6  90.0   1.0
249  3.91e-02  9.82e+00 -7.11e+00  2.00    2.0   1.0  -37.6  90.0   1.0
250  0.00e+00  1.14e+01 -8.33e+00  2.00    2.0   1.0  -37.6  90.0   1.0
251  2.56e-01  1.30e+01 -9.55e+00  2.00    2.0   1.0  -37.6  90.0   1.0
252  1.74e-01  1.46e+01 -1.08e+01  2.00    2.0   1.0  -37.6  90.0   1.0
253  1.41e-01  1.62e+01 -1.20e+01  2.00    2.0   1.0  -37.6  90.0   1.0
254  1.13e-01  1.77e+01 -1.32e+01  2.00    2.0   1.0  -37.6  90.0   1.0
255  6.57e-02  1.93e+01 -1.44e+01  2.00    2.0   1.0  -37.6  90.0   1.0
256  7.61e-03  2.09e+01 -1.57e+01  2.00    2.0   1.0  -37.6  90.0   1.0
257  2.52e-03  2.25e+01 -1.69e+01  2.00    2.0   1.0  -37.6  90.0   1.0
258  4.36e-04  2.41e+01 -1.81e+01  2.00    2.0   1.0  -37.6  90.0   1.0
259  0.00e+00  2.57e+01 -1.93e+01  2.00    2.0   1.0  -37.6  90.0   1.0
260  0.00e+00  2.72e+01 -2.05e+01  2.00    2.0   1.0  -37.6  90.0   1.0
261  4.20e-03 -2.86e+00  2.65e+00  1.00    2.0   1.0  -37.6  90.0   1.0
262  9.76e-03 -1.28e+00  1.43e+00  1.00    2.0   1.0  -37.6  90.0   1.0
263  2.51e-02  3.09e-01  2.09e-01  1.00    2.0   1.0  -37.6  90.0   1.0
264  1.72e-01  1.89e+00 -1.01e+00  1.00    2.0   1.0  -37.6  90.0   1.0
265  8.08e-02  3.48e+00 -2.23e+00  1.00    2.0   1.0  -37.6  90.0   1.0
266  0.00e+00  5.06e+00 -3.45e+00  1.00    2.0   1.0  -37.6  90.0   1.0
267  1.06e-01  6.65e+00 -4.67e+00  1.00    2.0   1.0  -37.6  90.0   1.0
268  4.07e-02  8.23e+00 -5.89e+00  1.00    2.0   1.0  -37.6  90.0   1.0
269  1.70e-01  9.82e+00 -7.11e+00  1.00    2.0   1.0  -37.6  90.0   1.0
270  0.00e+00  1.14e+01 -8.33e+00  1.00    2.0   1.0  -37.6  90.0   1.0
